	0	1	2	3
0	good	used by	oliviaGuts	12
1	good	used by	oliviaGutsSecret	4
2	good	used by	oliviaSour	15
3	good	used by	taylorEvermore	9
4	good	used by	taylorLover	9
5	good	used by	taylorMidnights	1
6	bad	used by	oliviaGuts	10
7	bad	used by	oliviaSour	3
8	bad	used by	taylorEvermore	6
9	bad	used by	taylorLover	11
10	bad	used by	taylorMidnights	2
11	well	used by	oliviaGuts	6
12	well	used by	oliviaGutsSecret	3
13	well	used by	taylorEvermore	1
14	well	used by	taylorLover	2
15	happy	used by	oliviaGuts	5
16	happy	used by	oliviaGutsSecret	2
17	happy	used by	oliviaSour	11
18	happy	used by	taylorEvermore	1
19	la	used by	oliviaGuts	39
20	la	used by	oliviaGutsSecret	9
21	la	used by	oliviaSour	11
22	la	used by	taylorEvermore	45
23	la	used by	taylorLover	33
24	la	used by	taylorMidnights	65
25	logical	used by	oliviaGuts	11
26	social	used by	oliviaGuts	13
27	fine	used by	oliviaGuts	12
28	fine	used by	oliviaGutsSecret	3
29	fine	used by	taylorEvermore	2
30	fine	used by	taylorLover	4
31	fine	used by	taylorMidnights	1
32	enough	used by	oliviaGuts	10
33	enough	used by	oliviaGutsSecret	2
34	enough	used by	oliviaSour	6
35	enough	used by	taylorEvermore	2
36	enough	used by	taylorLover	6
37	enough	used by	taylorMidnights	2
38	perfect	used by	oliviaGuts	7
39	perfect	used by	oliviaGutsSecret	2
40	perfect	used by	oliviaSour	4
41	perfect	used by	taylorMidnights	2
42	new	used by	oliviaGuts	8
43	new	used by	oliviaGutsSecret	2
44	new	used by	oliviaSour	12
45	new	used by	taylorEvermore	5
46	new	used by	taylorLover	5
47	new	used by	taylorMidnights	4
48	sorry	used by	oliviaGuts	3
49	sorry	used by	oliviaSour	6
50	sorry	used by	taylorLover	1
51	great	used by	oliviaGuts	3
52	great	used by	oliviaSour	6
53	great	used by	taylorEvermore	2
54	great	used by	taylorLover	1
55	great	used by	taylorMidnights	1
56	obsessed	used by	oliviaGuts	9
57	obsessed	used by	oliviaGutsSecret	9
58	obsessed	used by	taylorLover	1
59	pretty	used by	oliviaGuts	9
60	pretty	used by	oliviaSour	3
61	pretty	used by	taylorMidnights	1
62	wrong	used by	oliviaGuts	5
63	wrong	used by	oliviaGutsSecret	1
64	wrong	used by	oliviaSour	4
65	wrong	used by	taylorEvermore	6
66	wrong	used by	taylorLover	1
67	wrong	used by	taylorMidnights	1
68	little	used by	oliviaGuts	5
69	little	used by	oliviaSour	2
70	little	used by	taylorMidnights	4
71	True	used by	oliviaGuts	1
72	True	used by	oliviaSour	6
73	True	used by	taylorEvermore	2
74	True	used by	taylorLover	7
75	True	used by	taylorMidnights	1
76	more	used by	oliviaGuts	10
77	more	used by	oliviaGutsSecret	3
78	more	used by	oliviaSour	9
79	more	used by	taylorEvermore	19
80	more	used by	taylorLover	3
81	more	used by	taylorMidnights	4
82	same	used by	oliviaGuts	6
83	same	used by	oliviaGutsSecret	3
84	same	used by	oliviaSour	1
85	same	used by	taylorEvermore	4
86	same	used by	taylorLover	2
87	same	used by	taylorMidnights	6
88	right	used by	oliviaGuts	18
89	right	used by	oliviaGutsSecret	6
90	right	used by	taylorEvermore	16
91	right	used by	taylorLover	31
92	right	used by	taylorMidnights	8
93	weird	used by	oliviaGuts	7
94	big	used by	oliviaGuts	7
95	big	used by	taylorEvermore	2
96	big	used by	taylorMidnights	2
97	favorite	used by	oliviaSour	6
98	favorite	used by	taylorLover	1
99	favorite	used by	taylorMidnights	1
100	okay	used by	oliviaSour	6
101	okay	used by	taylorEvermore	1
102	okay	used by	taylorLover	7
103	okay	used by	taylorMidnights	1
104	nice	used by	oliviaGuts	3
105	nice	used by	oliviaGutsSecret	2
106	nice	used by	oliviaSour	1
107	nice	used by	taylorEvermore	2
108	nice	used by	taylorLover	11
109	nice	used by	taylorMidnights	6
110	sure	used by	oliviaGuts	5
111	sure	used by	oliviaGutsSecret	1
112	sure	used by	oliviaSour	1
113	sure	used by	taylorEvermore	9
114	sure	used by	taylorMidnights	2
115	scared	used by	oliviaGuts	6
116	scared	used by	oliviaGutsSecret	6
117	scared	used by	taylorLover	2
118	scared	used by	taylorMidnights	1
119	smart	used by	oliviaGuts	3
120	smart	used by	oliviaSour	2
