word	nodeType	synsetCount	unit	count
angry	ADJ	3	vol-9	2
awfull	ADJ	0	vol-9	1
bad	ADJ	17	vol-9	1
bald	ADJ	4	vol-9	2
complete	ADJ	10	vol-9	1
dry	ADJ	19	vol-9	1
elementary	ADJ	3	vol-9	1
embarrassed	ADJ	4	vol-9	1
famous	ADJ	1	vol-9	1
filthy	ADJ	3	vol-9	1
flintlock	ADJ	2	vol-9	1
flustered	ADJ	3	vol-9	1
full	ADJ	13	vol-9	2
golden	ADJ	6	vol-9	1
good	ADJ	27	vol-9	1
great	ADJ	7	vol-9	1
heavy	ADJ	30	vol-9	1
inside	ADJ	10	vol-9	1
kindred	ADJ	3	vol-9	1
left	ADJ	24	vol-9	2
light	ADJ	47	vol-9	2
long	ADJ	12	vol-9	1
many	ADJ	1	vol-9	1
medium	ADJ	13	vol-9	1
more	ADJ	5	vol-9	2
much	ADJ	7	vol-9	1
naughty	ADJ	2	vol-9	1
next	ADJ	4	vol-9	2
okay	ADJ	4	vol-9	2
old	ADJ	9	vol-9	2
pivoting	ADJ	1	vol-9	1
pleased	ADJ	5	vol-9	1
popular	ADJ	4	vol-9	1
refined	ADJ	11	vol-9	1
right	ADJ	36	vol-9	5
small	ADJ	13	vol-9	1
smelly	ADJ	1	vol-9	1
sorry	ADJ	4	vol-9	1
surprised	ADJ	4	vol-9	1
terrible	ADJ	4	vol-9	2
third	ADJ	8	vol-9	1
true	ADJ	15	vol-9	2
whole	ADJ	8	vol-9	1
wrong	ADJ	13	vol-9	2
young	ADJ	14	vol-9	1
-	ADJ	0	vol-8	1
153rd	ADJ	0	vol-8	1
3rd	ADJ	1	vol-8	1
alien	ADJ	7	vol-8	1
amazing	ADJ	4	vol-8	1
artificial	ADJ	3	vol-8	1
astonishing	ADJ	3	vol-8	1
astronomical	ADJ	2	vol-8	1
bad	ADJ	17	vol-8	2
careful	ADJ	5	vol-8	1
cheap	ADJ	4	vol-8	1
cool	ADJ	11	vol-8	1
courageous	ADJ	1	vol-8	2
curious	ADJ	3	vol-8	1
earthling	ADJ	1	vol-8	1
easy	ADJ	15	vol-8	1
enough	ADJ	3	vol-8	1
entire	ADJ	5	vol-8	2
existent	ADJ	3	vol-8	1
fat	ADJ	9	vol-8	1
