word	nodeType	unit
yellow	ADJ	jacobs-ladder-script
vietnamese	ADJ	jacobs-ladder-script
terraced	ADJ	jacobs-ladder-script
sweltering	ADJ	jacobs-ladder-script
lazy	ADJ	jacobs-ladder-script
soporific	ADJ	jacobs-ladder-script
strong	ADJ	jacobs-ladder-script
several	ADJ	jacobs-ladder-script
many	ADJ	jacobs-ladder-script
right	ADJ	jacobs-ladder-script
adolescent	ADJ	jacobs-ladder-script
frightened	ADJ	jacobs-ladder-script
joint	ADJ	jacobs-ladder-script
wrong	ADJ	jacobs-ladder-script
terrific	ADJ	jacobs-ladder-script
wide	ADJ	jacobs-ladder-script
frenzied	ADJ	jacobs-ladder-script
tall	ADJ	jacobs-ladder-script
good	ADJ	jacobs-ladder-script
sudden	ADJ	jacobs-ladder-script
demonic	ADJ	jacobs-ladder-script
horrifying	ADJ	jacobs-ladder-script
More	ADJ	jacobs-ladder-script
first	ADJ	jacobs-ladder-script
shadowy	ADJ	jacobs-ladder-script
agonizing	ADJ	jacobs-ladder-script
loud	ADJ	jacobs-ladder-script
piercing	ADJ	jacobs-ladder-script
sudden	ADJ	jacobs-ladder-script
long	ADJ	jacobs-ladder-script
dark	ADJ	jacobs-ladder-script
enormous	ADJ	jacobs-ladder-script
brilliant	ADJ	jacobs-ladder-script
last	ADJ	jacobs-ladder-script
grating	ADJ	jacobs-ladder-script
dazed	ADJ	jacobs-ladder-script
confused	ADJ	jacobs-ladder-script
certain	ADJ	jacobs-ladder-script
empty	ADJ	jacobs-ladder-script
overhead	ADJ	jacobs-ladder-script
hemorrhoid	ADJ	jacobs-ladder-script
thick	ADJ	jacobs-ladder-script
obvious	ADJ	jacobs-ladder-script
surprising	ADJ	jacobs-ladder-script
restless	ADJ	jacobs-ladder-script
concerned	ADJ	jacobs-ladder-script
back	ADJ	jacobs-ladder-script
deserted	ADJ	jacobs-ladder-script
dark	ADJ	jacobs-ladder-script
next	ADJ	jacobs-ladder-script
open	ADJ	jacobs-ladder-script
frightened	ADJ	jacobs-ladder-script
simple	ADJ	jacobs-ladder-script
asleep	ADJ	jacobs-ladder-script
rican	ADJ	jacobs-ladder-script
glad	ADJ	jacobs-ladder-script
other	ADJ	jacobs-ladder-script
only	ADJ	jacobs-ladder-script
other	ADJ	jacobs-ladder-script
old	ADJ	jacobs-ladder-script
asleep	ADJ	jacobs-ladder-script
only	ADJ	jacobs-ladder-script
overhead	ADJ	jacobs-ladder-script
old	ADJ	jacobs-ladder-script
brief	ADJ	jacobs-ladder-script
slight	ADJ	jacobs-ladder-script
long	ADJ	jacobs-ladder-script
red	ADJ	jacobs-ladder-script
fleshy	ADJ	jacobs-ladder-script
only	ADJ	jacobs-ladder-script
fearful	ADJ	jacobs-ladder-script
dark	ADJ	jacobs-ladder-script
huge	ADJ	jacobs-ladder-script
about	ADJ	jacobs-ladder-script
other	ADJ	jacobs-ladder-script
far	ADJ	jacobs-ladder-script
impossible	ADJ	jacobs-ladder-script
comfortable	ADJ	jacobs-ladder-script
unseen	ADJ	jacobs-ladder-script
