word	nodeType	synsetCount	unit	count
-	ADJ	0	jacobs-ladder-script	2
20th	ADJ	1	jacobs-ladder-script	1
34th	ADJ	1	jacobs-ladder-script	2
More	ADJ	5	jacobs-ladder-script	2
able	ADJ	4	jacobs-ladder-script	1
about	ADJ	8	jacobs-ladder-script	4
absent	ADJ	4	jacobs-ladder-script	1
absolute	ADJ	6	jacobs-ladder-script	2
active	ADJ	17	jacobs-ladder-script	1
additional	ADJ	1	jacobs-ladder-script	1
adolescent	ADJ	5	jacobs-ladder-script	1
afraid	ADJ	4	jacobs-ladder-script	5
african	ADJ	2	jacobs-ladder-script	1
aggressive	ADJ	3	jacobs-ladder-script	1
agonizing	ADJ	3	jacobs-ladder-script	1
ajar	ADJ	1	jacobs-ladder-script	1
alien	ADJ	7	jacobs-ladder-script	1
alive	ADJ	7	jacobs-ladder-script	5
alone	ADJ	6	jacobs-ladder-script	3
alright	ADJ	4	jacobs-ladder-script	1
amazing	ADJ	4	jacobs-ladder-script	4
american	ADJ	5	jacobs-ladder-script	1
ancient	ADJ	4	jacobs-ladder-script	1
angelic	ADJ	3	jacobs-ladder-script	1
angry	ADJ	3	jacobs-ladder-script	9
animalistic	ADJ	1	jacobs-ladder-script	1
annoyed	ADJ	3	jacobs-ladder-script	2
anxious	ADJ	2	jacobs-ladder-script	1
apex	ADJ	2	jacobs-ladder-script	1
appropriate	ADJ	3	jacobs-ladder-script	1
apt	ADJ	4	jacobs-ladder-script	2
archaic	ADJ	2	jacobs-ladder-script	1
armored	ADJ	4	jacobs-ladder-script	1
arterial	ADJ	1	jacobs-ladder-script	1
asleep	ADJ	5	jacobs-ladder-script	6
astounded	ADJ	2	jacobs-ladder-script	1
astounding	ADJ	3	jacobs-ladder-script	1
attractive	ADJ	3	jacobs-ladder-script	1
audible	ADJ	2	jacobs-ladder-script	1
awake	ADJ	3	jacobs-ladder-script	3
aware	ADJ	2	jacobs-ladder-script	1
awed	ADJ	3	jacobs-ladder-script	1
awesome	ADJ	1	jacobs-ladder-script	2
awestruck	ADJ	1	jacobs-ladder-script	1
back	ADJ	28	jacobs-ladder-script	4
bad	ADJ	17	jacobs-ladder-script	10
banal	ADJ	1	jacobs-ladder-script	1
barbaric	ADJ	2	jacobs-ladder-script	2
barren	ADJ	4	jacobs-ladder-script	1
beautiful	ADJ	2	jacobs-ladder-script	1
bedroom	ADJ	1	jacobs-ladder-script	1
beefy	ADJ	1	jacobs-ladder-script	2
berserk	ADJ	2	jacobs-ladder-script	1
biblical	ADJ	2	jacobs-ladder-script	3
big	ADJ	17	jacobs-ladder-script	5
biological	ADJ	2	jacobs-ladder-script	1
bizarre	ADJ	1	jacobs-ladder-script	2
bizarro	ADJ	0	jacobs-ladder-script	1
black	ADJ	22	jacobs-ladder-script	13
blank	ADJ	8	jacobs-ladder-script	3
blasphemous	ADJ	2	jacobs-ladder-script	1
bloodsoaked	ADJ	0	jacobs-ladder-script	1
blue	ADJ	16	jacobs-ladder-script	4
bony	ADJ	3	jacobs-ladder-script	1
bottom	ADJ	12	jacobs-ladder-script	1
