word	nodeType	synsetCount	unit
okay	ADJ	4	vol-9
third	ADJ	8	vol-9
small	ADJ	13	vol-9
surprised	ADJ	4	vol-9
famous	ADJ	1	vol-9
elementary	ADJ	3	vol-9
embarrassed	ADJ	4	vol-9
naughty	ADJ	2	vol-9
filthy	ADJ	3	vol-9
refined	ADJ	11	vol-9
true	ADJ	15	vol-9
good	ADJ	27	vol-9
bald	ADJ	4	vol-9
wrong	ADJ	13	vol-9
bald	ADJ	4	vol-9
awfull	ADJ	0	vol-9
terrible	ADJ	4	vol-9
terrible	ADJ	4	vol-9
flustered	ADJ	3	vol-9
okay	ADJ	4	vol-9
next	ADJ	4	vol-9
many	ADJ	1	vol-9
flintlock	ADJ	2	vol-9
young	ADJ	14	vol-9
sorry	ADJ	4	vol-9
inside	ADJ	10	vol-9
kindred	ADJ	3	vol-9
dry	ADJ	19	vol-9
full	ADJ	13	vol-9
pleased	ADJ	5	vol-9
right	ADJ	36	vol-9
much	ADJ	7	vol-9
whole	ADJ	8	vol-9
heavy	ADJ	30	vol-9
long	ADJ	12	vol-9
full	ADJ	13	vol-9
light	ADJ	47	vol-9
medium	ADJ	13	vol-9
light	ADJ	47	vol-9
complete	ADJ	10	vol-9
great	ADJ	7	vol-9
golden	ADJ	6	vol-9
angry	ADJ	3	vol-9
popular	ADJ	4	vol-9
more	ADJ	5	vol-9
angry	ADJ	3	vol-9
right	ADJ	36	vol-9
old	ADJ	9	vol-9
true	ADJ	15	vol-9
right	ADJ	36	vol-9
left	ADJ	24	vol-9
wrong	ADJ	13	vol-9
pivoting	ADJ	1	vol-9
right	ADJ	36	vol-9
left	ADJ	24	vol-9
right	ADJ	36	vol-9
old	ADJ	9	vol-9
more	ADJ	5	vol-9
bad	ADJ	17	vol-9
smelly	ADJ	1	vol-9
next	ADJ	4	vol-9
same	ADJ	6	vol-8
long	ADJ	12	vol-8
earthling	ADJ	1	vol-8
half	ADJ	6	vol-8
alien	ADJ	7	vol-8
many	ADJ	1	vol-8
impossible	ADJ	4	vol-8
entire	ADJ	5	vol-8
wooden	ADJ	2	vol-8
high	ADJ	18	vol-8
low	ADJ	16	vol-8
enough	ADJ	3	vol-8
high	ADJ	18	vol-8
first	ADJ	16	vol-8
great	ADJ	7	vol-8
astonishing	ADJ	3	vol-8
low	ADJ	16	vol-8
bad	ADJ	17	vol-8
rainy	ADJ	1	vol-8
sunny	ADJ	1	vol-8
snowy	ADJ	3	vol-8
waterproof	ADJ	4	vol-8
good	ADJ	27	vol-8
like	ADJ	11	vol-8
right	ADJ	36	vol-8
high	ADJ	18	vol-8
entire	ADJ	5	vol-8
