word	nodeType	unit
okay	ADJ	vol-9
third	ADJ	vol-9
small	ADJ	vol-9
surprised	ADJ	vol-9
famous	ADJ	vol-9
elementary	ADJ	vol-9
embarrassed	ADJ	vol-9
naughty	ADJ	vol-9
filthy	ADJ	vol-9
refined	ADJ	vol-9
true	ADJ	vol-9
good	ADJ	vol-9
bald	ADJ	vol-9
wrong	ADJ	vol-9
bald	ADJ	vol-9
awfull	ADJ	vol-9
terrible	ADJ	vol-9
terrible	ADJ	vol-9
flustered	ADJ	vol-9
okay	ADJ	vol-9
next	ADJ	vol-9
many	ADJ	vol-9
flintlock	ADJ	vol-9
young	ADJ	vol-9
sorry	ADJ	vol-9
inside	ADJ	vol-9
kindred	ADJ	vol-9
dry	ADJ	vol-9
full	ADJ	vol-9
pleased	ADJ	vol-9
right	ADJ	vol-9
much	ADJ	vol-9
whole	ADJ	vol-9
heavy	ADJ	vol-9
long	ADJ	vol-9
full	ADJ	vol-9
light	ADJ	vol-9
medium	ADJ	vol-9
light	ADJ	vol-9
complete	ADJ	vol-9
great	ADJ	vol-9
golden	ADJ	vol-9
angry	ADJ	vol-9
popular	ADJ	vol-9
more	ADJ	vol-9
angry	ADJ	vol-9
right	ADJ	vol-9
old	ADJ	vol-9
true	ADJ	vol-9
right	ADJ	vol-9
left	ADJ	vol-9
wrong	ADJ	vol-9
pivoting	ADJ	vol-9
right	ADJ	vol-9
left	ADJ	vol-9
right	ADJ	vol-9
old	ADJ	vol-9
more	ADJ	vol-9
bad	ADJ	vol-9
smelly	ADJ	vol-9
next	ADJ	vol-9
same	ADJ	vol-8
long	ADJ	vol-8
earthling	ADJ	vol-8
half	ADJ	vol-8
alien	ADJ	vol-8
many	ADJ	vol-8
impossible	ADJ	vol-8
entire	ADJ	vol-8
wooden	ADJ	vol-8
high	ADJ	vol-8
low	ADJ	vol-8
enough	ADJ	vol-8
high	ADJ	vol-8
first	ADJ	vol-8
great	ADJ	vol-8
astonishing	ADJ	vol-8
low	ADJ	vol-8
bad	ADJ	vol-8
rainy	ADJ	vol-8
sunny	ADJ	vol-8
snowy	ADJ	vol-8
waterproof	ADJ	vol-8
good	ADJ	vol-8
like	ADJ	vol-8
right	ADJ	vol-8
high	ADJ	vol-8
entire	ADJ	vol-8
153rd	ADJ	vol-8
3rd	ADJ	vol-8
fat	ADJ	vol-8
low	ADJ	vol-8
left	ADJ	vol-8
amazing	ADJ	vol-8
somethign	ADJ	vol-8
cool	ADJ	vol-8
courageous	ADJ	vol-8
courageous	ADJ	vol-8
non	ADJ	vol-8
-	ADJ	vol-8
existent	ADJ	vol-8
natural	ADJ	vol-8
artificial	ADJ	vol-8
stupid	ADJ	vol-8
serious	ADJ	vol-8
easy	ADJ	vol-8
strong	ADJ	vol-8
worth	ADJ	vol-8
giant	ADJ	vol-8
curious	ADJ	vol-8
ridiculous	ADJ	vol-8
many	ADJ	vol-8
same	ADJ	vol-8
short	ADJ	vol-8
cheap	ADJ	vol-8
much	ADJ	vol-8
bad	ADJ	vol-8
long	ADJ	vol-8
last	ADJ	vol-8
much	ADJ	vol-8
great	ADJ	vol-8
other	ADJ	vol-8
astronomical	ADJ	vol-8
careful	ADJ	vol-8
notorious	ADJ	vol-8
ridiculous	ADJ	vol-8
popular	ADJ	vol-16
ready	ADJ	vol-16
good	ADJ	vol-16
quick	ADJ	vol-16
right	ADJ	vol-16
little	ADJ	vol-16
same	ADJ	vol-16
more	ADJ	vol-16
many	ADJ	vol-16
shocked	ADJ	vol-16
only	ADJ	vol-16
eld	ADJ	vol-16
delicious	ADJ	vol-16
horrendous	ADJ	vol-16
happy	ADJ	vol-16
sick	ADJ	vol-16
sick	ADJ	vol-16
normal	ADJ	vol-16
convenient	ADJ	vol-16
easy	ADJ	vol-16
right	ADJ	vol-16
such	ADJ	vol-16
trivial	ADJ	vol-16
super	ADJ	vol-16
amazing	ADJ	vol-16
huge	ADJ	vol-16
webbed	ADJ	vol-16
awesome	ADJ	vol-16
good	ADJ	vol-16
next	ADJ	vol-16
big	ADJ	vol-16
twisty	ADJ	vol-16
amazing	ADJ	vol-16
own	ADJ	vol-16
deep	ADJ	vol-16
same	ADJ	vol-16
ready	ADJ	vol-16
nice	ADJ	vol-16
own	ADJ	vol-16
good	ADJ	vol-16
next	ADJ	vol-16
first	ADJ	vol-17
random	ADJ	vol-17
sure	ADJ	vol-17
difficult	ADJ	vol-17
awful	ADJ	vol-17
horned	ADJ	vol-17
swedish	ADJ	vol-17
right	ADJ	vol-17
giant	ADJ	vol-17
original	ADJ	vol-17
correct	ADJ	vol-17
precise	ADJ	vol-17
same	ADJ	vol-17
giant	ADJ	vol-17
non	ADJ	vol-17
-	ADJ	vol-17
mammalian	ADJ	vol-17
official	ADJ	vol-17
able	ADJ	vol-17
ancient	ADJ	vol-17
full	ADJ	vol-17
ancient	ADJ	vol-17
beautiful	ADJ	vol-17
wonderful	ADJ	vol-17
happy	ADJ	vol-17
right	ADJ	vol-17
nice	ADJ	vol-17
ancient	ADJ	vol-17
nice	ADJ	vol-17
good	ADJ	vol-17
full	ADJ	vol-17
entire	ADJ	vol-17
extra	ADJ	vol-17
nice	ADJ	vol-17
unnecessary	ADJ	vol-17
good	ADJ	vol-17
portuguese	ADJ	vol-15
olden	ADJ	vol-15
knowledgeable	ADJ	vol-15
important	ADJ	vol-15
much	ADJ	vol-15
deep	ADJ	vol-15
more	ADJ	vol-15
100th	ADJ	vol-15
cool	ADJ	vol-15
real	ADJ	vol-15
grand	ADJ	vol-15
other	ADJ	vol-15
big	ADJ	vol-15
exciting	ADJ	vol-15
bad	ADJ	vol-15
live	ADJ	vol-15
good	ADJ	vol-15
nice	ADJ	vol-15
further	ADJ	vol-15
true	ADJ	vol-15
next	ADJ	vol-15
secondhand	ADJ	vol-15
such	ADJ	vol-15
canadian	ADJ	vol-15
good	ADJ	vol-15
middle	ADJ	vol-15
future	ADJ	vol-15
serious	ADJ	vol-15
serious	ADJ	vol-15
wrong	ADJ	vol-15
young	ADJ	vol-15
own	ADJ	vol-15
much	ADJ	vol-15
young	ADJ	vol-15
such	ADJ	vol-15
terrible	ADJ	vol-15
amazing	ADJ	vol-15
such	ADJ	vol-15
wonderful	ADJ	vol-15
stupid	ADJ	vol-15
stupi	ADJ	vol-15
pathetic	ADJ	vol-15
least	ADJ	vol-15
pathetic	ADJ	vol-15
chure	ADJ	vol-15
right	ADJ	vol-15
tough	ADJ	vol-15
next	ADJ	vol-15
own	ADJ	vol-14
great	ADJ	vol-14
good	ADJ	vol-14
popular	ADJ	vol-14
expensive	ADJ	vol-14
high	ADJ	vol-14
exact	ADJ	vol-14
same	ADJ	vol-14
everyday	ADJ	vol-14
comic	ADJ	vol-14
same	ADJ	vol-14
same	ADJ	vol-14
cross	ADJ	vol-14
-	ADJ	vol-14
legged	ADJ	vol-14
cute	ADJ	vol-14
curious	ADJ	vol-14
vulgar	ADJ	vol-14
4th	ADJ	vol-14
old	ADJ	vol-14
drunk	ADJ	vol-14
drunk	ADJ	vol-14
eld	ADJ	vol-14
excited	ADJ	vol-14
italian	ADJ	vol-14
raw	ADJ	vol-14
sweet	ADJ	vol-14
miraculous	ADJ	vol-14
many	ADJ	vol-14
raw	ADJ	vol-14
raw	ADJ	vol-14
easy	ADJ	vol-14
henohenou_chi	ADJ	vol-14
right	ADJ	vol-14
right	ADJ	vol-14
tyrannical	ADJ	vol-14
refined	ADJ	vol-14
ahem	ADJ	vol-14
maaa	ADJ	vol-14
interested	ADJ	vol-14
maaa	ADJ	vol-14
first	ADJ	vol-14
hey	ADJ	vol-14
usoooooopp	ADJ	vol-14
odd	ADJ	vol-14
new	ADJ	vol-14
new	ADJ	vol-14
esp	ADJ	vol-14
new	ADJ	vol-14
good	ADJ	vol-14
egyptian	ADJ	vol-14
striped	ADJ	vol-14
ancient	ADJ	vol-14
striped	ADJ	vol-14
egyptian	ADJ	vol-14
mean	ADJ	vol-14
sixth	ADJ	vol-10
whole	ADJ	vol-10
small	ADJ	vol-10
bottom	ADJ	vol-10
upper	ADJ	vol-10
other	ADJ	vol-10
bzzzt	ADJ	vol-10
cute	ADJ	vol-10
main	ADJ	vol-10
short	ADJ	vol-10
cut	ADJ	vol-10
funny	ADJ	vol-10
full	ADJ	vol-10
chinese	ADJ	vol-10
fine	ADJ	vol-10
decorative	ADJ	vol-10
real	ADJ	vol-10
deep	ADJ	vol-10
decorative	ADJ	vol-10
pointless	ADJ	vol-10
more	ADJ	vol-10
first	ADJ	vol-10
favorite	ADJ	vol-10
little	ADJ	vol-10
sudden	ADJ	vol-10
careful	ADJ	vol-10
final	ADJ	vol-10
right	ADJ	vol-10
tall	ADJ	vol-10
certain	ADJ	vol-10
unyielding	ADJ	vol-10
right	ADJ	vol-10
new	ADJ	vol-10
good	ADJ	vol-10
right	ADJ	vol-10
good	ADJ	vol-10
glad	ADJ	vol-10
crazy	ADJ	vol-10
crazy	ADJ	vol-10
old	ADJ	vol-10
big	ADJ	vol-10
strong	ADJ	vol-10
straight	ADJ	vol-10
wonderful	ADJ	vol-10
gigantic	ADJ	vol-10
nice	ADJ	vol-10
little	ADJ	vol-10
terrible	ADJ	vol-10
dreadful	ADJ	vol-10
many	ADJ	vol-10
great	ADJ	vol-10
many	ADJ	vol-10
ridiculous	ADJ	vol-10
frequent	ADJ	vol-11
entire	ADJ	vol-11
certain	ADJ	vol-13
happy	ADJ	vol-13
great	ADJ	vol-13
first	ADJ	vol-13
ready	ADJ	vol-13
worthy	ADJ	vol-13
bottom	ADJ	vol-13
naked	ADJ	vol-13
sighted	ADJ	vol-13
short	ADJ	vol-13
sighted	ADJ	vol-13
close	ADJ	vol-13
blurry	ADJ	vol-13
likely	ADJ	vol-13
good	ADJ	vol-13
nice	ADJ	vol-13
graphic	ADJ	vol-13
small	ADJ	vol-13
