<xml><header>title	year	country	runtime</header>
<movie>Goodbye to All That	1930	UK	9 min</movie>
<movie>Murder!	1930	UK	92 min</movie>
<movie>Shadow Ranch	1930	USA	64 min</movie>
<movie>The Divorcee	1930	USA	84 min</movie>
<movie>Morocco	1930	USA	92 min</movie>
<movie>The Big Trail	1930	USA	125 min</movie>
<movie>Paid	1930	USA	86 min</movie>
<movie>Hell's Angels	1930	USA	127 min</movie>
<movie>Min and Bill	1930	USA	69 min</movie>
<movie>A Notorious Affair	1930	USA	69 min</movie>
<movie>The Big House	1930	USA	87 min</movie>
<movie>Seven Days Leave	1930	USA	80 min</movie>
<movie>Another Fine Mess	1930	USA	28 min</movie>
<movie>Abraham Lincoln	1930	USA	96 min</movie>
<movie>Ladies of Leisure	1930	USA	99 min</movie>
<movie>Up the River	1930	USA	92 min</movie>
<movie>Monte Carlo	1930	USA	90 min</movie>
<movie>The Concentratin' Kid	1930	USA	57 min</movie>
<movie>Born Reckless	1930	USA	82 min</movie>
<movie>Laughing Gravy	1930	USA	21 min</movie>
<movie>The Voice of Hollywood No. 14	1930	USA	10 min</movie>
<movie>All Quiet on the Western Front	1930	USA	136 min</movie>
<movie>Feet First	1930	USA	93 min</movie>
<movie>Anna Christie	1930	USA	89 min</movie>
<movie>Maybe It's Love	1930	USA	72 min</movie>
<movie>The Chain Gang	1930	USA	8 min</movie>
<movie>City Girl	1930	USA	90 min</movie>
<movie>The Benson Murder Case	1930	USA	65 min</movie>
<movie>The Devil's Parade	1930	USA	10 min</movie>
<movie>Be Yourself!	1930	USA	65 min</movie>
<movie>The Royal Family of Broadway	1930	USA	82 min</movie>
<movie>Wild Company	1930	USA	71 min</movie>
<movie>Laughter	1930	USA	85 min</movie>
<movie>Animal Crackers	1930	USA	97 min</movie>
<movie>King of Jazz	1930	USA	98 min</movie>
<movie>Half Shot at Sunrise	1930	USA	78 min</movie>
<movie>The Office Wife	1930	USA	59 min</movie>
<movie>A Co-respondent's Course	1931	Australia	N/A</movie>
<movie>The Skin Game	1931	UK	85 min</movie>
<movie>East of Shanghai	1931	UK	83 min</movie>
<movie>Five Star Final	1931	USA	89 min</movie>
<movie>The Miracle Woman	1931	USA	90 min</movie>
<movie>Oh! Oh! Cleopatra	1931	USA	22 min</movie>
<movie>Tonight or Never	1931	USA	80 min</movie>
<movie>Over the Hill	1931	USA	89 min</movie>
<movie>No Limit	1931	USA	72 min</movie>
<movie>Platinum Blonde	1931	USA	89 min</movie>
<movie>Ten Cents a Dance	1931	USA	75 min</movie>
<movie>Indiscreet	1931	USA	92 min</movie>
<movie>Dracula	1931	USA	75 min</movie>
<movie>Frankenstein	1931	USA	70 min</movie>
<movie>The Stolen Jools	1931	USA	20 min</movie>
<movie>Waterloo Bridge	1931	USA	81 min</movie>
<movie>The Champ	1931	USA	86 min</movie>
<movie>Monkey Business	1931	USA	77 min</movie>
<movie>Tabu: A Story of the South Seas	1931	USA	86 min</movie>
<movie>Arrowsmith	1931	USA	108 min</movie>
<movie>The Cheat	1931	USA	74 min</movie>
<movie>The Clyde Mystery	1931	USA	21 min</movie>
<movie>Mata Hari	1931	USA	89 min</movie>
<movie>Bad Girl	1931	USA	90 min</movie>
<movie>Seas Beneath	1931	USA	90 min</movie>
<movie>Dr. Jekyll and Mr. Hyde	1931	USA	98 min</movie>
<movie>The Smiling Lieutenant	1931	USA	93 min</movie>
<movie>City Lights	1931	USA	87 min</movie>
<movie>Smart Money	1931	USA	81 min</movie>
<movie>The Maltese Falcon	1931	USA	80 min</movie>
<movie>Quick Trigger Lee	1931	USA	57 min</movie>
<movie>The Star Witness	1931	USA	68 min</movie>
<movie>Men Call It Love	1931	USA	72 min</movie>
<movie>The Royal Bed	1931	USA	75 min</movie>
<movie>Daughter of the Dragon	1931	USA	70 min</movie>
<movie>Cimarron	1931	USA	123 min</movie>
<movie>The Front Page	1931	USA	101 min</movie>
<movie>The Great Lover	1931	USA	71 min</movie>
<movie>Blonde Crazy	1931	USA	79 min</movie>
<movie>Dishonored	1931	USA	91 min</movie>
<movie>Possessed	1931	USA	76 min</movie>
<movie>The Mad Genius	1931	USA	81 min</movie>
<movie>Svengali	1931	USA	81 min</movie>
<movie>Night Nurse	1931	USA	72 min</movie>
<movie>Pardon Us	1931	USA	56 min</movie>
<movie>City Streets	1931	USA	83 min</movie>
<movie>Five and Ten	1931	USA	89 min</movie>
<movie>A Free Soul	1931	USA	93 min</movie>
<movie>Other Men's Women	1931	USA	71 min</movie>
<movie>The Last Flight	1931	USA	76 min</movie>
<movie>An American Tragedy	1931	USA	96 min</movie>
<movie>Tarnished Lady	1931	USA	83 min</movie>
<movie>Lonely Wives	1931	USA	85 min</movie>
<movie>The Public Enemy	1931	USA	83 min</movie>
<movie>Little Caesar	1931	USA	79 min</movie>
<movie>The Lost Atlantis	1932	Germany	81 min</movie>
<movie>Number 17	1932	UK	66 min</movie>
<movie>Her First Affaire	1932	UK	71 min</movie>
<movie>The Crowd Roars	1932	USA	85 min</movie>
<movie>Singapore Sue	1932	USA	10 min</movie>
<movie>Jewel Robbery	1932	USA	68 min</movie>
<movie>"20,000 Years in Sing Sing"	1932	USA	78 min</movie>
<movie>Three on a Match	1932	USA	63 min</movie>
<movie>Red Dust	1932	USA	83 min</movie>
<movie>White Zombie	1932	USA	69 min</movie>
<movie>Merrily We Go to Hell	1932	USA	78 min</movie>
<movie>Devil and the Deep	1932	USA	78 min</movie>
<movie>Sinners in the Sun	1932	USA	70 min</movie>
<movie>Grand Hotel	1932	USA	112 min</movie>
<movie>American Madness	1932	USA	75 min</movie>
<movie>The Music Box	1932	USA	29 min</movie>
<movie>Madame Butterfly	1932	USA	86 min</movie>
<movie>The Old Dark House	1932	USA	72 min</movie>
<movie>A Farewell to Arms	1932	USA	80 min</movie>
<movie>Love Me Tonight	1932	USA	104 min</movie>
<movie>While Paris Sleeps	1932	USA	67 min</movie>
<movie>Horse Feathers	1932	USA	68 min</movie>
<movie>Million Dollar Legs	1932	USA	64 min</movie>
<movie>Young America	1932	USA	70 min</movie>
<movie>Skyscraper Souls	1932	USA	99 min</movie>
<movie>The Mask of Fu Manchu	1932	USA	68 min</movie>
<movie>"Ride Him, Cowboy"	1932	USA	55 min</movie>
<movie>The Big Stampede	1932	USA	54 min</movie>
<movie>Tarzan the Ape Man	1932	USA	100 min</movie>
<movie>The Most Dangerous Game	1932	USA	63 min</movie>
<movie>Frisco Jenny	1932	USA	73 min</movie>
