char	countInScene	sceneNum	sceneMarker
brian	1	1.	scene
bender	1	1.	scene
vernon	1	1.	scene
claire	3	2.	scene
brian	2	3.	scene
andrew	3	4.	scene
bender	2	5.	scene
allison	1	5.	scene
claire	14	6.	scene
brian	16	6.	scene
andrew	6	6.	scene
bender	29	6.	scene
allison	4	6.	scene
vernon	8	6.	scene
vernon	5	7.	scene
andrew	4	7.	scene
bender	14	7.	scene
claire	5	7.	scene
brian	8	7.	scene
vernon	1	9.	scene
brian	1	10.	scene
bender	4	10.	scene
vernon	1	11.	scene
brian	5	12.	scene
vernon	15	12.	scene
claire	4	12.	scene
bender	17	12.	scene
allison	5	12.	scene
andrew	11	12.	scene
vernon	1	13.	scene
andrew	12	14.	scene
bender	19	14.	scene
brian	9	14.	scene
claire	7	14.	scene
allison	2	14.	scene
carl	2	14.	scene
vernon	1	15.	scene
bender	4	16.	scene
vernon	1	16.	scene
andrew	2	16.	scene
allison	3	16.	scene
andrew	2	16.	scene
allison	7	16.	scene
claire	13	17.	scene
bender	5	17.	scene
brian	8	17.	scene
claire	3	18.	scene
bender	16	18.	scene
allison	3	18.	scene
andrew	5	18.	scene
brian	5	18.	scene
vernon	1	19.	scene
vernon	10	20.	scene
bender	21	20.	scene
claire	3	20.	scene
brian	4	20.	scene
andrew	5	20.	scene
allison	4	20.	scene
bender	8	21.	scene
vernon	4	21.	scene
andrew	3	21.	scene
vernon	4	21.	scene
bender	5	21.	scene
bender	2	22.	scene
vernon	1	23.	scene
bender	8	24.	scene
vernon	4	24.	scene
claire	8	24.	scene
andrew	2	24.	scene
allison	1	24.	scene
brian	3	24.	scene
vernon	1	25.	scene
brian	3	26.	scene
bender	2	26.	scene
claire	3	26.	scene
andrew	1	26.	scene
vernon	2	27.	scene
carl	4	27.	scene
andrew	9	28.	scene
brian	7	28.	scene
allison	12	28.	scene
bender	3	28.	scene
claire	2	28.	scene
vernon	2	29.	scene
carl	3	29.	scene
andrew	9	30.	scene
claire	18	30.	scene
allison	9	30.	scene
brian	11	30.	scene
vernon	1	30.	scene
bender	4	30.	scene
brian	1	31.	scene
bender	1	32.	scene
andrew	4	33.	scene
allison	9	33.	scene
claire	7	33.	scene
brian	5	33.	scene
vernon	1	33.	scene
bender	2	34.	scene
claire	3	34.	scene
brian	2	35.	scene
andrew	1	35.	scene
allison	2	35.	scene
claire	1	36.	scene
bender	2	36.	scene
brian	2	37.	scene
andrew	1	37.	scene
allison	2	37.	scene
claire	1	37.	scene
carl	3	38.	scene
brian	2	38.	scene
brian	1	39.	scene
andrew	4	39.	scene
allison	3	39.	scene
claire	1	39.	scene
bender	2	39.	scene
vernon	2	40.	scene
brian	1	40.	scene
bender	2	41.	scene
brian	1	41.	scene
