character	Source Node Attribute	countSpeechesInEpisode	Episode ID
JAKE	character	25	ATE1.xml
JAKE	character	28	ATE2.xml
JAKE	character	20	ATE3.xml
JAKE	character	27	ATE7.xml
JAKE	character	66	ATE6.xml
JAKE	character	43	ATE4.xml
JAKE	character	22	ATE5.xml
JAKE	character	20	ATE10.xml
JAKE	character	26	ATE11.xml
JAKE	character	39	ATE13.xml
JAKE	character	40	ATE12.xml
JAKE	character	50	ATE16.xml
JAKE	character	35	ATE17.xml
JAKE	character	7	ATE15.xml
JAKE	character	63	ATE14.xml
JAKE	character	34	ATE19.xml
JAKE	character	43	ATE25.xml
JAKE	character	23	ATE24.xml
JAKE	character	24	ATE18.xml
JAKE	character	47	ATE26.xml
JAKE	character	46	ATE23.xml
JAKE	character	18	ATE22.xml
JAKE	character	46	ATE20.xml
JAKE	character	23	ATE21.xml
JAKE	character	60	ATE8.xml
JAKE	character	68	ATE9.xml
LADY RAINICORN	character	2	ATE1.xml
LADY RAINICORN	character	2	ATE24.xml
LADY RAINICORN	character	26	ATE9.xml
PRINCESS BUBBLEGUM	character	33	ATE1.xml
PRINCESS BUBBLEGUM	character	5	ATE2.xml
PRINCESS BUBBLEGUM	character	23	ATE7.xml
PRINCESS BUBBLEGUM	character	15	ATE5.xml
PRINCESS BUBBLEGUM	character	19	ATE19.xml
PRINCESS BUBBLEGUM	character	29	ATE24.xml
PRINCESS BUBBLEGUM	character	5	ATE18.xml
FINN AND PRINCESS BUBBLEGUM	character	3	ATE1.xml
FINN	character	67	ATE1.xml
FINN	character	67	ATE2.xml
FINN	character	43	ATE3.xml
FINN	character	60	ATE7.xml
FINN	character	80	ATE6.xml
FINN	character	60	ATE4.xml
FINN	character	63	ATE5.xml
FINN	character	45	ATE10.xml
FINN	character	59	ATE11.xml
FINN	character	67	ATE13.xml
FINN	character	55	ATE12.xml
FINN	character	61	ATE16.xml
FINN	character	48	ATE17.xml
FINN	character	53	ATE15.xml
FINN	character	40	ATE14.xml
FINN	character	54	ATE19.xml
FINN	character	56	ATE25.xml
FINN	character	54	ATE24.xml
FINN	character	55	ATE18.xml
FINN	character	56	ATE26.xml
FINN	character	60	ATE23.xml
FINN	character	64	ATE22.xml
FINN	character	59	ATE20.xml
FINN	character	53	ATE21.xml
FINN	character	71	ATE8.xml
FINN	character	48	ATE9.xml
ZOMBIE MR. CREAM PUFF	character	2	ATE1.xml
ZOMBIE LOVE HEART	character	1	ATE1.xml
TREE TRUNKS	character	1	ATE1.xml
TREE TRUNKS	character	46	ATE4.xml
MANFRIED	character	5	ATE1.xml
MANFRIED	character	2	ATE24.xml
STARCHY	character	4	ATE1.xml
CHOCOBERRY	character	4	ATE1.xml
MR. CUPCAKE	character	3	ATE1.xml
PEPPERMINT BUTLER	character	1	ATE1.xml
PEPPERMINT BUTLER	character	1	ATE7.xml
HALLUCINATION OF PRINCESS BUBBLEGUM	character	1	ATE1.xml
ZOMBIE	character	1	ATE1.xml
LADY	character	2	ATE1.xml
LADY	character	2	ATE25.xml
CHET	character	3	ATE1.xml
GUARDIAN 1	character	5	ATE1.xml
GUARDIAN 2	character	2	ATE1.xml
REVIVED ZOMBIE	character	1	ATE1.xml
CANDY PERSON 1	character	1	ATE1.xml
CANDY PERSON 2	character	1	ATE1.xml
ICE CREAM LADY	character	1	ATE1.xml
LUMPY SPACE PRINCESS	character	45	ATE2.xml
LUMPY SPACE PRINCESS	character	6	ATE3.xml
LUMPY SPACE PRINCESS	character	5	ATE7.xml
LUMPY SPACE PRINCESS	character	6	ATE25.xml
LUMPY SPACE PRINCESS	character	1	ATE8.xml
FINN AND JAKE	character	1	ATE2.xml
FINN AND JAKE	character	3	ATE4.xml
FINN AND JAKE	character	1	ATE13.xml
FINN AND JAKE	character	1	ATE12.xml
FINN AND JAKE	character	1	ATE19.xml
FINN AND JAKE	character	3	ATE25.xml
FINN AND JAKE	character	2	ATE23.xml
FINN AND JAKE	character	1	ATE20.xml
FROG	character	2	ATE2.xml
LUMPY SPACE KING	character	2	ATE2.xml
LUMPY SPACE QUEEN	character	1	ATE2.xml
MELISSA	character	9	ATE2.xml
BRAD	character	2	ATE2.xml
GLASSES	character	3	ATE2.xml
MONTY	character	8	ATE2.xml
LENNY	character	6	ATE2.xml
ICE KING	character	39	ATE3.xml
ICE KING	character	13	ATE7.xml
ICE KING	character	45	ATE17.xml
ICE KING	character	29	ATE15.xml
ICE KING	character	40	ATE24.xml
JAKE: YEAH, I KNOW WHAT "ICE KING" MEANS	character	1	ATE3.xml
WILDBERRY PRINCESS	character	4	ATE3.xml
WILDBERRY PRINCESS	character	1	ATE7.xml
SLIME PRINCESS	character	7	ATE3.xml
PRINCESSES	character	2	ATE3.xml
COSMIC OWL	character	1	ATE3.xml
EVERYONE ELSE	character	1	ATE3.xml
RICARDIO	character	26	ATE7.xml
FINN & JAKE IN UNISON	character	1	ATE7.xml
FINN & JAKE	character	4	ATE6.xml
FINN & JAKE	character	2	ATE4.xml
FINN & JAKE	character	2	ATE11.xml
FINN & JAKE	character	6	ATE17.xml
FINN & JAKE	character	1	ATE14.xml
